latitude,longitude,dots_exten,nearest_location
-33.948750000897405,151.16874999999095,3.68886,"Control Tower, General Holmes Drive, Mascot, Sydney, Bayside Council, New South Wales, 2020, Australia"
-33.787083334225144,151.28958333332434,0.256322,"Queenscliff Rock Pool, Greycliffe Street, Queenscliff, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2096, Australia"
-33.4383333368238,151.36624999999094,0.109745,"The Entrance Road, Erina, Gosford, Central Coast Council, New South Wales, 2250, Australia"
-33.30791666754186,151.4454166666577,0.155749,"Lake Road, Tuggerah, Central Coast Council, New South Wales, 2259, Australia"
-32.962083334196564,151.6145833333245,0.486769,"Creek Reserve Road, Speers Point, Newcastle-Maitland, City of Lake Macquarie, New South Wales, 2284, Australia"
-32.92375000086196,151.7770833333244,0.631729,"Destiny, Dyke Road, Port Waratah, Carrington, Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2294, Australia"
-32.85041666752602,151.7429166666576,0.443748,"Kooragang, Newcastle-Maitland, City of Newcastle, New South Wales, 2304, Australia"
-32.05625000083245,115.73708333332615,5.55176,"Fleet Street, Fremantle, City of Fremantle, Western Australia, 6959, Australia"
-30.652916667452928,153.0029166666577,0.122374,"Foreshore Caravan Park, Seaview Street, Bellwood, Nambucca Heads, Nambucca Valley Council, New South Wales, 2448, Australia"
-30.50041666744784,153.0312499999909,0.120074,"Urunga Lagoon Footbridge, Urunga, Bellingen Shire Council, New South Wales, 2455, Australia"
-30.29708333410804,153.13958333332425,0.347517,"Solitary Islands Coastal Walk, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia"
-28.52875000071856,153.5529166666577,0.115737,"North Head Road, New Brighton, Byron Shire Council, New South Wales, 2483, Australia"
-28.128750000706248,153.48208333332434,0.288906,"Gold Coast Highway, Palm Beach, Gold Coast City, Queensland, 4221, Australia"
-27.913750000699736,153.40874999999107,0.927029,"Shearwater Esplanade, Runaway Bay, Gold Coast City, Queensland, 4216, Australia"
-27.39625000068389,153.14041666665753,1.91947,"Brownlee Street, Pinkenba, Greater Brisbane, Queensland, 4008, Australia"
-27.337916667348797,153.09291666665786,0.535193,"Boondall Wetlands Canoe Trail Portage, Nudgee Beach, Greater Brisbane, Queensland, 4014, Australia"
-27.331250000681905,153.0854166666575,0.699238,"Allpass Parade, Shorncliffe, City of Brisbane, Queensland, 4017, Australia"
-27.150416667342935,153.03874999999084,0.708202,"Saint Smith Road, Beachmere, Greater Brisbane, City of Moreton Bay, Queensland, 4510, Australia"
-24.792916667273403,152.3829166666576,0.325624,"River Road, Fairymead, Bundaberg, Bundaberg Region, Queensland, Australia"
-21.07541666716918,149.20791666665764,0.176248,"Seagull Street, Slade Point, Mackay, Mackay Regional, Queensland, 4740, Australia"
-19.596250000462533,169.3254166666569,0.164691,"Lénakel, Tafea, Vanuatu"
-19.552083333794823,169.27874999999062,0.304569,"Bethel, Tafea, Vanuatu"
-19.531250000460886,169.26458333332403,0.966148,"Lénakel, Tafea, Vanuatu"
-19.520416664903564,169.24916666665706,0.139309,"Lowanatom, Lénakel, Tafea, Vanuatu"
-19.51041666712689,169.46041666665678,0.144773,"Hot Spring, Jungle footpath, Port Resolution, Tafea, Vanuatu"
-19.457083331613774,169.22166666665703,0.142457,"Tanna Airport, tana airport access, Imanaka, Tafea, Vanuatu"
-19.38791666499509,169.24916666665706,0.190002,"Lenafa, Tafea, Vanuatu"
-19.077083333782184,178.10624999999004,0.199282,"Ratu Nacagilevu Hall, Ravitaki, Kadavu, Ravitaki Road, Nasalia Village, Nuku, Kadavu, Eastern, Viti"
-19.077083333782184,178.11374999998975,0.295152,"Baidamudamu, Kadavu, Eastern, Viti"
-19.077083333782184,178.11708333332342,0.278626,"Baidamudamu, Kadavu, Eastern, Viti"
-18.259583333760645,178.0029166666567,0.378571,"Galoa, Serua, Central, Viti"
-18.25958333376053,178.0545833333233,0.36729,"Queens Road, Wainiyabia Village, Serua, Central, Viti"
-18.2587500004272,178.1537499999897,5.71634,"Sadro Village, Serua, Central, Viti"
-18.2562500004272,177.87374999998974,0.378161,"Navacau Settlement, Serua, Central, Viti"
-18.2562500004272,177.93708333332324,0.25008,"Talenaua, Serua, Central, Viti"
-18.2562500004272,178.06791666665652,0.96359,"The Pearl South Pacific resort, Hibiscus Drive, Pacific Harbour, Serua, Central, Viti"
-18.251250000427035,177.8687499999902,1.13606,"Vunaniu, Serua, Central, Viti"
-18.23791666709343,177.82624999998984,0.108718,"Naboutini, Serua, Central, Viti"
-18.22958333375982,177.78374999999016,0.487821,"Namatakula, Nadroga-Navosa, Western, Viti"
-18.21375000042616,177.72874999998976,0.251081,"Queens Road, Korolevu, Nadroga-Navosa, Western, Viti"
-18.202916667092552,177.69291666665663,0.397221,"Naviti Resort, Queens Road, Nadroga-Navosa, Western, Viti"
-18.197916667092443,178.20041666665668,0.300301,"Veivatuloa, Namosi, Central, Viti"
-18.184583333758667,178.24708333332342,1.18747,"Nabukavesi, Namosi, Central, Viti"
-18.182916667091888,177.6079166666567,0.468413,"Vatukarasa, Nadroga-Navosa, Western, Viti"
-18.177083333758446,177.59458333332327,0.612469,"Queens Road, Vatukarasa, Nadroga-Navosa, Western, Viti"
-18.17541666709178,178.2512499999899,0.111727,"Namelimeli, Namosi, Central, Viti"
-18.171250000425005,177.51874999998995,18.6777,"Olosara, Nadroga-Navosa, Western, Viti"
-18.169583333758283,177.5404166666567,0.146804,"Queens Road, Korotogo, Nadroga-Navosa, Western, Viti"
-18.16625000042484,177.46958333332338,0.379739,"Bula Coffee, Queens Road, Mataqe, Nadroga-Navosa, Western, Viti"
-18.150416667091065,178.4512499999903,13.7052,"Queen Elizabeth Drive, Laucala Bay, Suva, Rewa, Central, Viti"
-18.148750000424343,178.29291666665654,0.154933,"Kalokolevu, Rewa, Central, Viti"
-18.1429166670909,178.52374999998983,64.8704,"Laucala, Suva, Rewa, Central, Viti"
-18.132083333757407,177.4187499999898,2.39117,"Voua, Nadroga-Navosa, Western, Viti"
-18.131250000423847,177.40291666665644,0.267627,"Nadroga-Navosa, Western, Viti"
-18.13125000042396,178.46708333332344,43.5376,"Vinod Karsanji Bhindi Street, Vatuwaqa, Suva, Rewa, Central, Viti"
-18.123750000423684,178.32541666665657,0.601434,"Queens Road, Togalevu, Rewa, Central, Viti"
-18.122083333757075,178.51624999999,4.90208,"Suva, Rewa, Central, Viti"
-18.115416667090187,178.42874999999026,2.98072,"Delainavesi, Nadonumai, Rewa, Central, Viti"
-18.11375000042352,178.41208333332327,0.726964,"Marine Drive, Delainavesi, Suvavou Village, Rewa, Central, Viti"
-18.11291666596867,178.3783333333232,0.122804,"Suva, Rewa, Central, Viti"
-18.107916667090024,178.49374999998997,6.04268,"Nasinu, Naitasiri, Central, Viti"
-18.064583333755596,177.30208333332337,5.55837,"Lomawai, Nadroga-Navosa, Western, Viti"
-18.03791666708821,177.29624999999032,0.802803,"Lomawai, Nadroga-Navosa, Western, Viti"
-17.988750000420282,179.24958333332313,0.335176,"Sawaieke, Lomaiviti, Eastern, Viti"
-17.98750000166848,178.62791666665655,0.189543,"Bau, Tailevu, Central, Viti"
-17.977083333753228,177.25874999998996,0.889329,"Korokula, Nadroga-Navosa, Western, Viti"
-17.976250000419952,178.60124999998982,0.293376,"Vuci Road, Tailevu, Central, Viti"
-17.936666668330247,178.5895833333234,0.271611,"Tubalevu, Tailevu, Central, Viti"
-17.92375000041858,178.58624999998983,1.24909,"Namulomulo, Nadaro Village, Tailevu, Central, Viti"
-17.91541666708497,178.57958333332363,3.57283,"Dravuni, Tailevu, Central, Viti"
-17.912916667084858,177.27624999999,0.555843,"Momi Bay, Nalovo Road, Navolo, Nadroga-Navosa, Western, Viti"
-17.897083333751198,178.58541666665667,0.698257,"Dravuni, Tailevu, Central, Viti"
-17.860416667083484,177.31708333332313,0.305346,"Navolo, Nadroga-Navosa, Western, Viti"
-17.847916667083155,178.60874999998987,0.313961,"Naloto Community Hall, Tailevu, Central, Viti"
-17.823749999543224,178.58833333332325,15.3835,"Matacaucau Village, Tailevu, Central, Viti"
-17.817083333749054,177.3629166666567,1.05077,"Nadi, Ba, Western, Viti"
-17.80625000041556,168.45541666665713,0.565125,"Rentapao, Shefa, Vanuatu"
-17.795416667081838,177.36541666665698,20.4828,"Ba, Western, Viti"
-17.79125000041512,168.38208333332386,0.146331,"Ring Road, Teouma Ville Area (Stage 2), Teoma side-road, Shefa, Vanuatu"
-17.767916667081124,168.31208333332347,2.69844,"Port Vila, Shefa, Vanuatu"
-17.762916667080958,178.55291666665664,0.872079,"Matacaucau Village, Tailevu, Central, Viti"
-17.741250000413856,177.42958333332308,4.83358,"Ba, Western, Viti"
-17.732916667080246,178.5637499999898,0.734764,"Korovou, Tailevu, Central, Viti"
-17.71875000041325,178.82708333332312,0.101416,"Lomaiviti, Eastern, Viti"
-17.711250000413088,178.7520833333233,2.34691,"Nasanga, Lomaiviti, Eastern, Viti"
-17.707916667079644,168.2912499999902,0.729194,"Blacksands, Port Vila, Shefa, Vanuatu"
-17.706250000412922,177.42458333332365,0.269911,"Lautoka, Ba, Western, Viti"
-17.706250000412922,178.57124999999007,0.28189,"Tailevu, Central, Viti"
-17.705000001640542,168.28958333332366,0.376214,"Port Vila, Shefa, Vanuatu"
-17.69875000041276,178.57458333332352,0.124677,"Tailevu, Central, Viti"
-17.693750000412592,177.41791666665677,1.33273,"Viseisei Village Road, Lautoka, Ba, Western, Viti"
-17.69291666707926,168.2687499999903,0.137383,"Mele, Shefa, Vanuatu"
-17.692083333745813,178.74458333332348,0.101787,"Nasanga, Lomaiviti, Eastern, Viti"
-17.68375000041226,168.25124999999025,0.147044,"Devil's Point Road, Pukura, Mele, Shefa, Vanuatu"
-17.66208333301421,177.3891666666567,0.528785,"Lautoka, Ba, Western, Viti"
-17.656250000411546,168.53041666665695,0.604237,"Ring Road, Pang Pang, Shefa, Vanuatu"
-17.64375000041133,178.58124999999018,0.649101,"Lawaki, Tailevu, Central, Viti"
-17.640416667077773,178.75708333332318,0.14371,"Lomaiviti, Eastern, Viti"
-17.625416667077445,177.4262499999902,1.21111,"Lautoka, Ba, Western, Viti"
-17.622916666381116,168.50249999999028,0.569172,"Shefa, Vanuatu"
-17.614583333743838,178.51958333332323,0.492384,"Tailevu, Central, Viti"
-17.602916667076897,178.50041666665663,0.128242,"Tailevu, Central, Viti"
-17.59625000041001,177.46041666665656,12.1311,"Bouwalu Street, Lautoka, Ba, Western, Viti"
-17.592916667076622,177.4645833333234,0.183177,"Cemetary Road, Lautoka, Ba, Western, Viti"
-17.584583333743012,178.49124999999003,0.172258,"Silana, Tailevu, Central, Viti"
-17.576250000409516,177.50041666665652,1.95228,"Vitogo Village, Ba, Western, Viti"
-17.57125000040935,177.5070833333234,1.74838,"Matawalu, Ba, Western, Viti"
-17.56250000162578,178.43624999998997,0.220207,"Nadogoloa, Ra, Western, Viti"
-17.55291666707558,168.45958333332374,0.491237,"Ring Road, Napara, Shefa, Vanuatu"
-17.545416667075244,178.40291666665644,0.344382,"Nayavutoka Community Hall, Nayavutoka, Ra, Western, Viti"
-17.508750000407815,146.06624999999133,0.397571,"The Esplanade, Coconuts, Flying Fish Point, Cassowary Coast Regional, Queensland, 4860, Australia"
-17.50541666707437,177.56541666665692,0.119886,"Ba, Western, Viti"
-17.50458333374098,177.56708333332347,0.119006,"Ba, Western, Viti"
-17.500416667074262,177.57291666665674,0.2038,"King's Highway, Natawarau Village, Ba, Western, Viti"
-17.486250000407153,177.59374999998977,0.470463,"Ba, Western, Viti"
-17.47625000040688,177.6079166666567,0.213926,"Ba, Western, Viti"
