Latitude_degree,Longitudedegree,Water_Sample_Depth_m,Microplastics_measurement,Toxicity,Color,nearest_current_speed,nearest_u_current,nearest_v_current,is_land
39.187167,10.924667,0.0,0.205191,High,Red,0.0290000010281801,0.0,-0.0290000010281801,False
40.7305,10.1585,0.0,0.343292,High,Red,0.0488262252779859,0.0400000028312206,-0.0280000008642673,False
41.869167,7.723333,0.0,0.436909,High,Red,0.1963288098652344,0.0360000021755695,0.1930000036954879,False
41.989333,7.451333,0.0,0.666638,High,Red,0.1055462007155152,0.0180000010877847,0.1040000021457672,False
42.154167,7.142833,0.0,0.332265,High,Red,0.0724499879634643,-0.0320000015199184,0.0650000050663948,False
42.289333,6.9055,0.0,0.110665,High,Red,0.1130884659969715,-0.0420000031590461,0.1050000041723251,False
43.314833,4.671167,0.0,0.157077,High,Red,0.1450413826573739,-0.106000006198883,0.0990000069141388,False
43.327167,4.400167,0.0,0.143505,High,Red,0.1728843603496258,-0.1080000028014183,0.135000005364418,False
38.067333,7.042,0.0,0.524865,High,Red,0.1784656980551154,0.077000007033348,0.1610000133514404,False
38.585167,0.588667,0.0,0.22866,High,Red,0.0838689512702535,0.0530000030994415,-0.0650000050663948,False
38.658,15.833333,0.0,0.243213,High,Red,0.0810061750291557,0.0710000023245811,-0.0390000008046627,False
38.706667,15.8535,0.0,0.167273,High,Red,0.0810061750291557,0.0710000023245811,-0.0390000008046627,False
38.801667,15.844667,0.0,1.439939,High,Red,0.0810061750291557,0.0710000023245811,-0.0390000008046627,False
60.3445,1.277333,0.1,0.011103,High,Red,0.1618178078129723,0.1280000060796737,-0.0990000069141388,False
60.596667,1.341,0.1,0.078347,High,Red,0.208038465294813,0.164000004529953,-0.1280000060796737,False
60.787833,1.413,0.1,0.018074,High,Red,0.1449724151578077,0.1040000021457672,-0.101000003516674,False
61.130167,1.361833,0.1,0.0,Low,Green,0.1288099421913996,0.0760000050067901,-0.1040000021457672,False
60.776667,1.0885,0.1,0.025192,High,Red,0.2058834673038386,0.1319999992847442,-0.1580000072717666,False
60.631833,0.991333,0.1,0.083973,High,Red,0.2058834673038386,0.1319999992847442,-0.1580000072717666,False
60.727333,0.957833,0.1,0.0,Low,Green,0.2058834673038386,0.1319999992847442,-0.1580000072717666,False
